topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.mc.d129~lemcLI.Epistle.chapverse,Romans,4.4-12,Romans,4,4,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d130~lemcLI.Epistle.chapverse,Romans,4.13-25,Romans,4,13,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d131~lemcLI.Epistle.chapverse,Romans,5.10-16,Romans,5,10,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d132~lemcLI.Epistle.chapverse,Romans,5.17-21; 6.1-2,Romans,5,17,21,Romans,6,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d133~lemcLI.Epistle.chapverse,Romans,3.19-24,Romans,3,19,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d134~lemcLI.Epistle.chapverse,Romans,2.10-16,Romans,2,10,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d135~lemcLI.Epistle.chapverse,Romans,7.1-14,Romans,7,1,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d136~lemcLI.Epistle.chapverse,Romans,7.14-25; 8.1-2,Romans,7,14,25,Romans,8,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d137~lemcLI.Epistle.chapverse,Romans,8.2-13,Romans,8,2,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d138~lemcLI.Epistle.chapverse,Romans,8.22-27,Romans,8,22,27,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d139~lemcLI.Epistle.chapverse,Romans,9.6-19,Romans,9,6,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d140~lemcLI.Epistle.chapverse,Romans,3.28-31; 4.1-3,Romans,3,28,31,Romans,4,1,3,,,,,,,,,,,,,,,,
le.ep.mc.d141~lemcLI.Epistle.chapverse,Romans,5.1-11,Romans,5,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d142~lemcLI.Epistle.chapverse,Romans,9.18-33,Romans,9,18,33,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d143~lemcLI.Epistle.chapverse,Romans,10.11-21; 11.1-2,Romans,10,11,21,Romans,11,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d144~lemcLI.Epistle.chapverse,Romans,11.2-12,Romans,11,2,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d145~lemcLI.Epistle.chapverse,Romans,11.13-24,Romans,11,13,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d146~lemcLI.Epistle.chapverse,Romans,11.25-36,Romans,11,25,36,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d147~lemcLI.Epistle.chapverse,Romans,6.11-17,Romans,6,11,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d148~lemcLI.Epistle.chapverse,Romans,6.18-23,Romans,6,18,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d149~lemcLI.Epistle.chapverse,Romans,12.4-5; 15-21,Romans,12,4,5,Romans,12,15,21,,,,,,,,,,,,,,,,
le.ep.mc.d150~lemcLI.Epistle.chapverse,Romans,14.9-18,Romans,14,9,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d151~lemcLI.Epistle.chapverse,Romans,15.7-16,Romans,15,7,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d152~lemcLI.Epistle.chapverse,Romans,15.17-29,Romans,15,17,29,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d153~lemcLI.Epistle.chapverse,Romans,16.1-16,Romans,16,1,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d154~lemcLI.Epistle.chapverse,Romans,8.14-21,Romans,8,14,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d155~lemcLI.Epistle.chapverse,Romans,10.1-10,Romans,10,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d156~lemcLI.Epistle.chapverse,Romans,16.17-24,Romans,16,17,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d157~lemcLI.Epistle.chapverse,1 Corinthians,1.1-9,1 Corinthians,1,1,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d158~lemcLI.Epistle.chapverse,1 Corinthians,2.9-16; 3.1-8,1 Corinthians,2,9,16,1 Corinthians,3,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d159~lemcLI.Epistle.chapverse,1 Corinthians,3.18-23,1 Corinthians,3,18,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d160~lemcLI.Epistle.chapverse,1 Corinthians,4.5-8,1 Corinthians,4,5,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d161~lemcLI.Epistle.chapverse,1 Corinthians,9.1-5,1 Corinthians,9,1,5,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d162~lemcLI.Epistle.chapverse,1 Corinthians,12.6-14,1 Corinthians,12,6,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d163~lemcLI.Epistle.chapverse,1 Corinthians,5.9-13; 6.1-11,1 Corinthians,5,9,13,1 Corinthians,6,1,11,,,,,,,,,,,,,,,,
le.ep.mc.d164~lemcLI.Epistle.chapverse,1 Corinthians,6.20; 7.1-12,1 Corinthians,6,20,20,Romans,7,1,12,,,,,,,,,,,,,,,,
le.ep.mc.d165~lemcLI.Epistle.chapverse,1 Corinthians,7.12-24,1 Corinthians,7,12,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d166~lemcLI.Epistle.chapverse,1 Corinthians,7.24-35,1 Corinthians,7,24,35,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d167~lemcLI.Epistle.chapverse,1 Corinthians,7.35-40; 8.1-7,1 Corinthians,7,35,40,1 Corinthians,8,1,7,,,,,,,,,,,,,,,,
le.ep.mc.d168~lemcLI.Epistle.chapverse,Romans,12.1-6,Romans,12,1,6,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d169~lemcLI.Epistle.chapverse,Romans,15.1-7,Romans,15,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d170~lemcLI.Epistle.chapverse,1 Corinthians,9.13-18,1 Corinthians,9,13,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d171~lemcLI.Epistle.chapverse,1 Corinthians,10.5-12,1 Corinthians,10,5,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d172~lemcLI.Epistle.chapverse,1 Corinthians,10.12-22,1 Corinthians,10,12,22,,,,,,,,,,,,,,,,,,,,
